"Path","Hash","Size","Reason","ChunkOffset","DataOffset"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_01\400_cliff13_gray.nif","0x4694BA61","150823","missing","20489412715","20489412983"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_02\256_cliff01_gray.dds","0xDB8D74A6","2796344","missing","20489563806","20489564074"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_02\400_cliff01_gray.nif","0x25B8759F","123771","missing","20492360418","20492360686"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_02\400_cliff01_gray_02.nif","0x04180D40","565392","missing","20492484457","20492484725"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_02\400_cliff01_gray_03.nif","0x041899A1","123653","missing","20493050117","20493050385"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\256_cliff01_gray.dds","0xA7B4A307","2796344","missing","20493174038","20493174306"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\256_cliff02_d.dds","0xFED8B819","2796344","missing","20495970650","20495970918"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\256_cliff02_gray.dds","0x1C311408","2796344","missing","20498767262","20498767530"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\256_cliff07.nif","0xDFCE109D","108282","missing","20501563874","20501564142"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\256_cliff_friendship.dds","0xC3F7F95F","2796344","missing","20501672424","20501672692"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\256_cliff_friendship02.dds","0x9E133581","2796344","missing","20504469036","20504469304"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\400_cliff01_gray.nif","0xF1DFA400","123771","missing","20507265648","20507265916"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\400_cliff01_gray_02.nif","0xCC4DAC01","112835","missing","20507389687","20507389955"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\400_cliff02_gray.nif","0x665C1501","158389","missing","20507502790","20507503058"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\400_cliff03_gray.nif","0xDAD88602","167503","missing","20507661447","20507661715"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\400_cliff04_gray.nif","0x4F54F703","289004","missing","20507829218","20507829486"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\400_cliff05_friendship_gray.nif","0xE5058C8F","225282","missing","20508118490","20508118758"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\400_cliff05_friendship_gray02.nif","0x381B0431","226481","missing","20508344040","20508344308"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\400_cliff05_gray.nif","0xC3D16804","206187","missing","20508570789","20508571057"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\400_cliff06_gray.nif","0x384DD905","35455","missing","20508777244","20508777512"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\400_cliff07_gray.nif","0xACCA4A06","108427","missing","20508812967","20508813235"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\400_cliff08_gray.nif","0x2146BB07","127869","missing","20508921662","20508921930"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\400_cliff09_gray.nif","0x95C32C08","330713","missing","20509049799","20509050067"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\400_cliff10_gray.nif","0x816DC420","258655","missing","20509380780","20509381048"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\400_cliff11_gray.nif","0xF5EA3521","386095","missing","20509639703","20509639971"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\400_cliff12_gray.nif","0x6A66A622","69913","missing","20510026066","20510026334"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_03\400_cliff13_gray.nif","0xDEE31723","150823","missing","20510096247","20510096515"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff01.nif","0xC9A10F9A","123626","missing","20510247338","20510247606"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff01_d.dds","0xB511357B","2796344","missing","20510371232","20510371500"
