"OriginalFunction","FunctionAddress","CopiedFile","RefAddress","TargetAddress","TargetSymbol","Value"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a681f","01ad06a8","s_ENCY_DIGIMON_GRADE_SS_01ad06a8","ENCY_DIGIMON_GRADE_SS"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a68b2","01ad06c0","s_ENCY_DIGIMON_GRADE_SSPLUS_01ad06c0","ENCY_DIGIMON_GRADE_SSPLUS"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a6945","01ad06dc","s_ENCY_DIGIMON_GRADE_SSS_01ad06dc","ENCY_DIGIMON_GRADE_SSS"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a69d8","01ad06f4","s_ENCY_DIGIMON_GRADE_SSSPLUS_01ad06f4","ENCY_DIGIMON_GRADE_SSSPLUS"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a6a6b","01ad0710","s_ENCY_DIGIMON_GRADE_U_01ad0710","ENCY_DIGIMON_GRADE_U"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a630e","01ad36a8","s_Talk\Common_Seletbar.tga_01ad36a8","Talk\Common_Seletbar.tga"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a6334","01ad36a8","s_Talk\Common_Seletbar.tga_01ad36a8","Talk\Common_Seletbar.tga"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a6407","01ad7abc","s_SealMaster\btn_combobox.tga_01ad7abc","SealMaster\btn_combobox.tga"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a642e","01ad7b14","s_SealMaster\dropdown_list_0_01ad7b14","SealMaster\dropdown_list_0"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a64a3","01ae0fbc","s_SEALMASTER_SHOW_ALL_01ae0fbc","SEALMASTER_SHOW_ALL"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a617c","01ae65fc","s_Control_G\ComboBox\Combo.tga_01ae65fc","Control_G\ComboBox\Combo.tga"
"FUN_011a60d0","011a60d0","decompiled\ExtraInventoryUI\Seal\BuildSealOverviewDropdown.original.c","011a6270","01ae661c","s_Control_G\Popup\ON2Dlg_01ae661c","Control_G\Popup\ON2Dlg"
"FUN_011ae540","011ae540","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","011ae784","01ad36a8","s_Talk\Common_Seletbar.tga_01ad36a8","Talk\Common_Seletbar.tga"
"FUN_011ae540","011ae540","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","011ae7aa","01ad36a8","s_Talk\Common_Seletbar.tga_01ad36a8","Talk\Common_Seletbar.tga"
"FUN_011ae540","011ae540","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","011ae880","01ad7abc","s_SealMaster\btn_combobox.tga_01ad7abc","SealMaster\btn_combobox.tga"
"FUN_011ae540","011ae540","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","011ae890","01ad7b14","s_SealMaster\dropdown_list_0_01ad7b14","SealMaster\dropdown_list_0"
"FUN_011ae540","011ae540","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","011ae8e7","01ae13ac","s_SEALMASTER_STATE_COMBO_ALL_01ae13ac","SEALMASTER_STATE_COMBO_ALL"
"FUN_011ae540","011ae540","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","011aea17","01ae13e4","s_SEALMASTER_STATE_COMBO_DS_01ae13e4","SEALMASTER_STATE_COMBO_DS"
"FUN_011ae540","011ae540","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","011ae984","01ae1400","s_SEALMASTER_STATE_COMBO_HP_01ae1400","SEALMASTER_STATE_COMBO_HP"
