"Function","Entry","RefAddr","Target","Value","Copied"
"FUN_013a90e0","013a90e0","013a97c1","01af1dbc","SEALMASTER_SEAL_TITLE","decompiled\ExtraInventoryUI\ResolveExtraInventoryWindowTitle.original.c"
"FUN_013cb8a0","013cb8a0","013cb93c","01af7570","TOOLTIP_SEALMASTER_BRONZE","NO"
"FUN_013cb8a0","013cb8a0","013cb94a","01af758c","TOOLTIP_SEALMASTER_SILVER","NO"
"FUN_013cb8a0","013cb8a0","013cb974","01af75dc","TOOLTIP_SEALMASTER_MASTER","NO"
"FUN_013cb8a0","013cb8a0","013cb958","01af7608","TOOLTIP_SEALMASTER_GOLD","NO"
"FUN_013cb8a0","013cb8a0","013cb966","01af7620","TOOLTIP_SEALMASTER_PLATINUM","NO"
"FUN_013cbba0","013cbba0","013cbc12","01af766c","SEALMASTER_TOOLTIP_SEALCOUNT","NO"
"FUN_013cbdc0","013cbdc0","013cc0a0","01ad7490","SEALMASTER_STATE_AT","NO"
"FUN_013cbdc0","013cbdc0","013cc27a","01ad74d8","SEALMASTER_STATE_CT","NO"
"FUN_013cbdc0","013cbdc0","013cc541","01ad74ec","SEALMASTER_STATE_BL","NO"
"FUN_013cbdc0","013cbdc0","013cbec6","01ad7500","SEALMASTER_STATE_HP","NO"
"FUN_013cbdc0","013cbdc0","013cc62e","01ad7514","SEALMASTER_STATE_EV","NO"
"FUN_013cbdc0","013cbdc0","013cbfb3","01ae32e4","SEALMASTER_STATE_DS","NO"
"FUN_013cbdc0","013cbdc0","013cc367","01ae3314","SEALMASTER_STATE_HT","NO"
"FUN_013cbdc0","013cbdc0","013cc18d","01ae3328","SEALMASTER_STATE_AS","NO"
"FUN_013cbdc0","013cbdc0","013cc454","01ae333c","SEALMASTER_STATE_DE","NO"
"FUN_013cbdc0","013cbdc0","013cbe4e","01af763c","SEALMASTER_TOOLTIP_NEXTSTATE","NO"
"FUN_013cbdc0","013cbdc0","013cbf3b","01af763c","SEALMASTER_TOOLTIP_NEXTSTATE","NO"
"FUN_013cbdc0","013cbdc0","013cc028","01af763c","SEALMASTER_TOOLTIP_NEXTSTATE","NO"
"FUN_013cbdc0","013cbdc0","013cc115","01af763c","SEALMASTER_TOOLTIP_NEXTSTATE","NO"
"FUN_013cbdc0","013cbdc0","013cc202","01af763c","SEALMASTER_TOOLTIP_NEXTSTATE","NO"
"FUN_013cbdc0","013cbdc0","013cc2ef","01af763c","SEALMASTER_TOOLTIP_NEXTSTATE","NO"
"FUN_013cbdc0","013cbdc0","013cc3dc","01af763c","SEALMASTER_TOOLTIP_NEXTSTATE","NO"
"FUN_013cbdc0","013cbdc0","013cc4c9","01af763c","SEALMASTER_TOOLTIP_NEXTSTATE","NO"
"FUN_013cbdc0","013cbdc0","013cc5b6","01af763c","SEALMASTER_TOOLTIP_NEXTSTATE","NO"
"FUN_013cc970","013cc970","013ccd39","01ad7490","SEALMASTER_STATE_AT","NO"
"FUN_013cc970","013cc970","013ccdda","01ad7490","SEALMASTER_STATE_AT","NO"
"FUN_013cc970","013cc970","013ccf6b","01ad74d8","SEALMASTER_STATE_CT","NO"
"FUN_013cc970","013cc970","013cd00c","01ad74d8","SEALMASTER_STATE_CT","NO"
"FUN_013cc970","013cc970","013cd2b6","01ad74ec","SEALMASTER_STATE_BL","NO"
"FUN_013cc970","013cc970","013cd357","01ad74ec","SEALMASTER_STATE_BL","NO"
"FUN_013cc970","013cc970","013ccb07","01ad7500","SEALMASTER_STATE_HP","NO"
"FUN_013cc970","013cc970","013ccba8","01ad7500","SEALMASTER_STATE_HP","NO"
"FUN_013cc970","013cc970","013cd3cf","01ad7514","SEALMASTER_STATE_EV","NO"
"FUN_013cc970","013cc970","013cd470","01ad7514","SEALMASTER_STATE_EV","NO"
"FUN_013cc970","013cc970","013ccc20","01ae32e4","SEALMASTER_STATE_DS","NO"
"FUN_013cc970","013cc970","013cccc1","01ae32e4","SEALMASTER_STATE_DS","NO"
"FUN_013cc970","013cc970","013cd084","01ae3314","SEALMASTER_STATE_HT","NO"
"FUN_013cc970","013cc970","013cd125","01ae3314","SEALMASTER_STATE_HT","NO"
"FUN_013cc970","013cc970","013cce52","01ae3328","SEALMASTER_STATE_AS","NO"
"FUN_013cc970","013cc970","013ccef3","01ae3328","SEALMASTER_STATE_AS","NO"
"FUN_013cc970","013cc970","013cd19d","01ae333c","SEALMASTER_STATE_DE","NO"
"FUN_013cc970","013cc970","013cd23e","01ae333c","SEALMASTER_STATE_DE","NO"
"FUN_013cc970","013cc970","013cc9e8","01af76cc","SEALMASTER_TOOLTIP_NONE_LEVEL_STATE","NO"
"FUN_013cc970","013cc970","013cca74","01af76f0","SEALMASTER_TOOLTIP_MASTER_STATE","NO"
"FUN_013cd8a0","013cd8a0","013cdb80","01ad7490","SEALMASTER_STATE_AT","NO"
"FUN_013cd8a0","013cd8a0","013cdd5a","01ad74d8","SEALMASTER_STATE_CT","NO"
"FUN_013cd8a0","013cd8a0","013ce021","01ad74ec","SEALMASTER_STATE_BL","NO"
"FUN_013cd8a0","013cd8a0","013cd9a6","01ad7500","SEALMASTER_STATE_HP","NO"
"FUN_013cd8a0","013cd8a0","013ce10e","01ad7514","SEALMASTER_STATE_EV","NO"
"FUN_013cd8a0","013cd8a0","013cda93","01ae32e4","SEALMASTER_STATE_DS","NO"
"FUN_013cd8a0","013cd8a0","013cde47","01ae3314","SEALMASTER_STATE_HT","NO"
"FUN_013cd8a0","013cd8a0","013cdc6d","01ae3328","SEALMASTER_STATE_AS","NO"
"FUN_013cd8a0","013cd8a0","013cdf34","01ae333c","SEALMASTER_STATE_DE","NO"
"FUN_013cd8a0","013cd8a0","013cd92e","01af76a4","SEALMASTER_TOOLTIP_STATE","NO"
"FUN_013cd8a0","013cd8a0","013cda1b","01af76a4","SEALMASTER_TOOLTIP_STATE","NO"
"FUN_013cd8a0","013cd8a0","013cdb08","01af76a4","SEALMASTER_TOOLTIP_STATE","NO"
"FUN_013cd8a0","013cd8a0","013cdbf5","01af76a4","SEALMASTER_TOOLTIP_STATE","NO"
"FUN_013cd8a0","013cd8a0","013cdce2","01af76a4","SEALMASTER_TOOLTIP_STATE","NO"
"FUN_013cd8a0","013cd8a0","013cddcf","01af76a4","SEALMASTER_TOOLTIP_STATE","NO"
"FUN_013cd8a0","013cd8a0","013cdebc","01af76a4","SEALMASTER_TOOLTIP_STATE","NO"
"FUN_013cd8a0","013cd8a0","013cdfa9","01af76a4","SEALMASTER_TOOLTIP_STATE","NO"
"FUN_013cd8a0","013cd8a0","013ce096","01af76a4","SEALMASTER_TOOLTIP_STATE","NO"
"FUN_013da700","013da700","013de5c0","01af7570","TOOLTIP_SEALMASTER_BRONZE","NO"
"FUN_013da700","013da700","013de5cc","01af758c","TOOLTIP_SEALMASTER_SILVER","NO"
"FUN_013da700","013da700","013de5f0","01af75dc","TOOLTIP_SEALMASTER_MASTER","NO"
"FUN_013da700","013da700","013de5d8","01af7608","TOOLTIP_SEALMASTER_GOLD","NO"
